Dataset,Source,Target,Test Accuracy,std
ImageCLEFBaseline,I,P,46.5,26.20088768005371
ImageCLEFBaseline,I,C,56.833333333333336,33.0267448425293
ImageCLEFBaseline,P,I,69.66666666666667,20.04780387878418
ImageCLEFBaseline,P,C,80.16666666666667,16.70659637451172
ImageCLEFBaseline,C,I,55.5,20.471635818481445
ImageCLEFBaseline,C,P,43.0,23.720643997192383
ImageCLEFDANN,I,P,77.77777777777777,17.133609771728516
ImageCLEFDANN,I,C,90.0,9.422229766845703
ImageCLEFDANN,P,I,82.22222222222223,13.41358470916748
ImageCLEFDANN,P,C,86.66666666666667,16.1007137298584
ImageCLEFDANN,C,I,86.66666666666667,10.660036087036133
ImageCLEFDANN,C,P,75.55555555555556,11.717960357666016
ImageCLEFADDA,I,P,80.0,14.59685516357422
ImageCLEFADDA,I,C,80.0,18.844459533691406
ImageCLEFADDA,P,I,82.22222222222223,17.236928939819336
ImageCLEFADDA,P,C,82.22222222222223,18.04219627380371
ImageCLEFADDA,C,I,85.55555555555556,11.254207611083984
ImageCLEFADDA,C,P,73.33333333333333,13.055824279785156
ImageCLEFCDAN,I,P,48.888888888888886,25.188682556152344
ImageCLEFCDAN,I,C,60.0,23.309309005737305
ImageCLEFCDAN,P,I,58.888888888888886,14.433756828308104
ImageCLEFCDAN,P,C,52.22222222222222,24.10814476013184
ImageCLEFCDAN,C,I,56.66666666666666,13.588932991027832
ImageCLEFCDAN,C,P,42.22222222222222,23.13088607788086
ImageCLEFCREDA,I,P,72.22222222222223,18.04219627380371
ImageCLEFCREDA,I,C,92.22222222222224,9.912017822265623
ImageCLEFCREDA,P,I,82.22222222222223,13.41358470916748
ImageCLEFCREDA,P,C,90.0,12.066341400146484
ImageCLEFCREDA,C,I,85.55555555555556,12.452561378479004
ImageCLEFCREDA,C,P,67.77777777777777,13.41358470916748
