Dataset,Source,Target,Test Accuracy,std
Office-CaltechBaseline,A,W,48.13559322033898,29.645444869995117
Office-CaltechBaseline,A,D,46.496815286624205,31.669292449951172
Office-CaltechBaseline,W,A,53.4446764091858,29.987855911254883
Office-CaltechBaseline,W,D,76.43312101910828,24.051410675048828
Office-CaltechBaseline,D,A,53.86221294363257,36.856773376464844
Office-CaltechBaseline,D,W,90.50847457627118,21.12409782409668
Office-CaltechDANN,A,W,88.88888888888889,9.409658432006836
Office-CaltechDANN,A,D,95.83333333333333,7.216878414154053
Office-CaltechDANN,W,A,91.66666666666667,8.574929237365723
Office-CaltechDANN,W,D,100.0,0.0
Office-CaltechDANN,D,A,81.94444444444444,13.707971572875977
Office-CaltechDANN,D,W,91.11111111111111,10.206207275390625
Office-CaltechADDA,A,W,88.88888888888889,9.409658432006836
Office-CaltechADDA,A,D,95.83333333333333,7.216878414154053
Office-CaltechADDA,W,A,88.88888888888889,9.479941368103027
Office-CaltechADDA,W,D,100.0,0.0
Office-CaltechADDA,D,A,84.72222222222223,13.929678916931152
Office-CaltechADDA,D,W,91.11111111111111,10.206207275390625
Office-CaltechCDAN,A,W,73.33333333333333,15.81138801574707
Office-CaltechCDAN,A,D,75.0,12.5
Office-CaltechCDAN,W,A,70.13888888888889,19.712495803833008
Office-CaltechCDAN,W,D,95.83333333333333,7.216878414154053
Office-CaltechCDAN,D,A,52.083333333333336,15.006126403808594
Office-CaltechCDAN,D,W,68.88888888888889,20.41241455078125
Office-CaltechCREDA,A,W,86.66666666666667,11.180339813232422
Office-CaltechCREDA,A,D,100.0,0.0
Office-CaltechCREDA,W,A,91.66666666666667,8.574929237365723
Office-CaltechCREDA,W,D,100.0,0.0
Office-CaltechCREDA,D,A,86.11111111111111,12.042272567749023
Office-CaltechCREDA,D,W,93.33333333333333,10.458250045776367
