Dataset,Source,Target,Test Accuracy,std
Office-CaltechBaseline,A,W,85.42372881355932,21.609020233154297
Office-CaltechBaseline,A,D,86.62420382165605,14.964871406555176
Office-CaltechBaseline,W,A,80.27139874739039,22.52252578735352
Office-CaltechBaseline,W,D,100.0,0.0
Office-CaltechBaseline,D,A,66.1795407098121,28.50225257873535
Office-CaltechBaseline,D,W,94.23728813559322,12.002095222473145
Office-CaltechDANN,A,W,53.333333333333336,18.62458038330078
Office-CaltechDANN,A,D,75.0,25.0
Office-CaltechDANN,W,A,19.444444444444443,12.294054985046388
Office-CaltechDANN,W,D,91.66666666666669,7.216878414154053
Office-CaltechDANN,D,A,20.13888888888889,12.231595039367676
Office-CaltechDANN,D,W,91.11111111111111,11.22682762145996
Office-CaltechADDA,A,W,80.0,15.309310913085938
Office-CaltechADDA,A,D,95.83333333333331,7.216878414154053
Office-CaltechADDA,W,A,12.5,10.502100944519045
Office-CaltechADDA,W,D,100.0,0.0
Office-CaltechADDA,D,A,15.27777777777778,13.929678916931152
Office-CaltechADDA,D,W,55.55555555555556,16.614501953125
Office-CaltechCDAN,A,W,17.77777777777778,24.57980155944824
Office-CaltechCDAN,A,D,62.5,12.5
Office-CaltechCDAN,W,A,20.13888888888889,12.961260795593262
Office-CaltechCDAN,W,D,100.0,0.0
Office-CaltechCDAN,D,A,21.52777777777778,12.722689628601074
Office-CaltechCDAN,D,W,8.88888888888889,10.206207275390623
Office-CaltechCREDA,A,W,93.33333333333331,6.846531867980957
Office-CaltechCREDA,A,D,91.66666666666669,7.216878414154053
Office-CaltechCREDA,W,A,88.19444444444444,16.864633560180664
Office-CaltechCREDA,W,D,100.0,0.0
Office-CaltechCREDA,D,A,71.52777777777777,16.49730110168457
Office-CaltechCREDA,D,W,91.11111111111111,20.41241455078125
