Dataset,Source,Target,Test Accuracy,std
ImageCLEFBaseline,I,P,58.0,21.71296119689941
ImageCLEFBaseline,I,C,76.83333333333333,21.522825241088867
ImageCLEFBaseline,P,I,68.0,19.303760528564453
ImageCLEFBaseline,P,C,76.5,19.052736282348636
ImageCLEFBaseline,C,I,49.833333333333336,24.44427299499512
ImageCLEFBaseline,C,P,38.66666666666666,25.59868812561035
ImageCLEFDANN,I,P,60.0,25.0
ImageCLEFDANN,I,C,85.55555555555556,13.545308113098145
ImageCLEFDANN,P,I,66.66666666666667,16.428218841552734
ImageCLEFDANN,P,C,78.88888888888889,18.04219627380371
ImageCLEFDANN,C,I,76.66666666666667,17.7778263092041
ImageCLEFDANN,C,P,57.77777777777778,23.737037658691406
ImageCLEFADDA,I,P,68.88888888888889,20.871177673339844
ImageCLEFADDA,I,C,77.77777777777777,11.095316886901855
ImageCLEFADDA,P,I,71.11111111111111,19.09406471252441
ImageCLEFADDA,P,C,81.11111111111111,16.392152786254883
ImageCLEFADDA,C,I,74.44444444444444,14.556251525878906
ImageCLEFADDA,C,P,58.888888888888886,21.62328147888184
ImageCLEFCDAN,I,P,56.66666666666666,23.309309005737305
ImageCLEFCDAN,I,C,62.22222222222222,15.501404762268066
ImageCLEFCDAN,P,I,65.55555555555556,16.713947296142578
ImageCLEFCDAN,P,C,58.888888888888886,16.28347396850586
ImageCLEFCDAN,C,I,68.88888888888889,21.62328147888184
ImageCLEFCDAN,C,P,47.77777777777778,22.89944267272949
ImageCLEFCREDA,I,P,66.66666666666667,19.309823989868164
ImageCLEFCREDA,I,C,82.22222222222223,17.236928939819336
ImageCLEFCREDA,P,I,77.77777777777777,16.28347396850586
ImageCLEFCREDA,P,C,80.0,18.55963897705078
ImageCLEFCREDA,C,I,73.33333333333333,19.217653274536133
ImageCLEFCREDA,C,P,62.22222222222222,18.813024520874023
