Dataset,Source,Target,Test Accuracy,std
MNIST-USPS-SVHNBaseline,M,U,56.72747222603209,20.931659698486328
MNIST-USPS-SVHNBaseline,M,S,22.03884952973777,14.770886421203612
MNIST-USPS-SVHNBaseline,U,M,76.64166666666667,15.48599624633789
MNIST-USPS-SVHNBaseline,U,S,9.67825600283932,10.604974746704102
MNIST-USPS-SVHNBaseline,S,M,69.49333333333334,16.81658935546875
MNIST-USPS-SVHNBaseline,S,U,74.69482924153066,15.8812894821167
MNIST-USPS-SVHNDANN,M,U,86.19744058500915,10.641712188720703
MNIST-USPS-SVHNDANN,M,S,19.282919282919284,13.614553451538086
MNIST-USPS-SVHNDANN,U,M,80.84444444444445,13.648656845092772
MNIST-USPS-SVHNDANN,U,S,28.64682864682865,16.116361618041992
MNIST-USPS-SVHNDANN,S,M,72.64444444444445,15.721674919128418
MNIST-USPS-SVHNDANN,S,U,70.6581352833638,16.329374313354492
MNIST-USPS-SVHNADDA,M,U,7.678244972577697,9.126381874084473
MNIST-USPS-SVHNADDA,M,U,92.41316270566728,8.351985931396484
MNIST-USPS-SVHNADDA,M,S,30.994630994630995,16.92511558532715
MNIST-USPS-SVHNADDA,U,M,83.3,12.67115879058838
MNIST-USPS-SVHNADDA,U,S,28.27372827372828,16.220706939697266
MNIST-USPS-SVHNADDA,S,M,74.32222222222222,15.30791473388672
MNIST-USPS-SVHNADDA,S,U,66.27056672760511,15.852386474609377
MNIST-USPS-SVHNCDAN,M,U,81.9926873857404,11.922439575195312
MNIST-USPS-SVHNCDAN,M,S,15.078715078715078,12.80160427093506
MNIST-USPS-SVHNCDAN,U,M,25.122222222222224,15.751897811889648
MNIST-USPS-SVHNCDAN,U,S,14.186914186914189,12.722389221191406
MNIST-USPS-SVHNCDAN,S,M,56.422222222222224,17.008527755737305
MNIST-USPS-SVHNCDAN,S,U,66.45338208409507,17.50983428955078
MNIST-USPS-SVHNCREDA,M,U,88.39122486288848,11.204465866088867
MNIST-USPS-SVHNCREDA,M,S,32.923832923832926,17.138492584228516
MNIST-USPS-SVHNCREDA,U,M,86.07777777777778,12.078275680541992
MNIST-USPS-SVHNCREDA,U,S,26.28992628992629,15.785337448120115
MNIST-USPS-SVHNCREDA,S,M,71.08888888888889,16.009994506835938
MNIST-USPS-SVHNCREDA,S,U,71.11517367458866,15.952582359313965
