Dataset,Source,Target,Test Accuracy,std
Office-CaltechBaseline,A,W,50.50847457627118,29.454980850219727
Office-CaltechBaseline,A,D,55.4140127388535,25.371904373168945
Office-CaltechBaseline,W,A,54.906054279749476,34.50185012817383
Office-CaltechBaseline,W,D,96.81528662420382,7.983329772949219
Office-CaltechBaseline,D,A,46.5553235908142,34.30673599243164
Office-CaltechBaseline,D,W,78.98305084745763,28.895530700683594
Office-CaltechDANN,A,W,73.33333333333333,15.81138801574707
Office-CaltechDANN,A,D,87.5,12.5
Office-CaltechDANN,W,A,67.36111111111111,16.681978225708008
Office-CaltechDANN,W,D,100.0,0.0
Office-CaltechDANN,D,A,51.388888888888886,17.090206146240234
Office-CaltechDANN,D,W,84.44444444444444,12.289900779724121
Office-CaltechADDA,A,W,62.22222222222222,26.712200164794922
Office-CaltechADDA,A,D,87.5,12.5
Office-CaltechADDA,W,A,54.166666666666664,19.64763069152832
Office-CaltechADDA,W,D,100.0,0.0
Office-CaltechADDA,D,A,59.72222222222222,17.445058822631836
Office-CaltechADDA,D,W,84.44444444444444,9.409658432006836
Office-CaltechCDAN,A,W,64.44444444444444,14.71960163116455
Office-CaltechCDAN,A,D,75.0,12.5
Office-CaltechCDAN,W,A,50.69444444444444,21.638839721679688
Office-CaltechCDAN,W,D,100.0,0.0
Office-CaltechCDAN,D,A,51.388888888888886,16.543663024902344
Office-CaltechCDAN,D,W,88.88888888888889,12.289900779724121
Office-CaltechCREDA,A,W,82.22222222222223,18.819316864013672
Office-CaltechCREDA,A,D,91.66666666666667,14.433756828308105
Office-CaltechCREDA,W,A,74.30555555555556,17.401098251342773
Office-CaltechCREDA,W,D,100.0,0.0
Office-CaltechCREDA,D,A,74.30555555555556,17.401098251342773
Office-CaltechCREDA,D,W,93.33333333333333,10.458250045776367
