Dataset,Source,Target,Test Accuracy,std
ImageCLEFBaseline,I,P,73.0,24.31841087341309
ImageCLEFBaseline,I,C,92.5,11.441685676574709
ImageCLEFBaseline,P,I,85.66666666666667,15.4730224609375
ImageCLEFBaseline,P,C,88.0,12.574104309082031
ImageCLEFBaseline,C,I,77.16666666666667,25.61517906188965
ImageCLEFBaseline,C,P,64.83333333333333,29.686803817749023
ImageCLEFDANN,I,P,70.0,22.056873321533203
ImageCLEFDANN,I,C,91.11111111111111,6.154574394226074
ImageCLEFDANN,P,I,81.11111111111111,15.501404762268066
ImageCLEFDANN,P,C,86.66666666666667,11.918282508850098
ImageCLEFDANN,C,I,83.33333333333333,16.960012435913086
ImageCLEFDANN,C,P,62.22222222222222,15.501404762268066
ImageCLEFADDA,I,P,68.88888888888889,18.04219627380371
ImageCLEFADDA,I,C,90.0,7.769769668579102
ImageCLEFADDA,P,I,78.88888888888889,12.452561378479004
ImageCLEFADDA,P,C,85.55555555555556,12.452561378479004
ImageCLEFADDA,C,I,7.777777777777778,9.912017822265623
ImageCLEFADDA,C,P,48.888888888888886,22.19063377380371
ImageCLEFCDAN,I,P,70.0,18.074970245361328
ImageCLEFCDAN,I,C,87.77777777777777,9.912017822265623
ImageCLEFCDAN,P,I,72.22222222222223,15.501404762268066
ImageCLEFCDAN,P,C,78.88888888888889,15.84130573272705
ImageCLEFCDAN,C,I,36.66666666666666,20.643070220947266
ImageCLEFCDAN,C,P,24.444444444444443,13.933011054992676
ImageCLEFCREDA,I,P,77.77777777777777,18.718408584594727
ImageCLEFCREDA,I,C,93.33333333333331,8.427497863769531
ImageCLEFCREDA,P,I,80.0,13.588932991027832
ImageCLEFCREDA,P,C,86.66666666666667,15.192888259887695
ImageCLEFCREDA,C,I,87.77777777777777,11.254207611083984
ImageCLEFCREDA,C,P,68.88888888888889,18.04219627380371
