Dataset,Source,Target,Test Accuracy,std
MNIST-USPS-SVHNBaseline,M,U,67.56274859415718,18.437889099121094
MNIST-USPS-SVHNBaseline,M,S,27.3789535471013,16.100568771362305
MNIST-USPS-SVHNBaseline,U,M,69.82166666666667,17.165712356567383
MNIST-USPS-SVHNBaseline,U,S,14.113327054069918,12.634217262268066
MNIST-USPS-SVHNBaseline,S,M,66.285,17.127717971801758
MNIST-USPS-SVHNBaseline,S,U,62.50171444246331,18.111108779907227
MNIST-USPS-SVHNDANN,M,U,26.96526508226691,15.898988723754885
MNIST-USPS-SVHNDANN,M,S,7.871507871507871,9.690943717956545
MNIST-USPS-SVHNDANN,U,M,24.844444444444445,15.649784088134766
MNIST-USPS-SVHNDANN,U,S,9.527709527709527,10.360275268554688
MNIST-USPS-SVHNDANN,S,M,7.666666666666667,9.438177108764648
MNIST-USPS-SVHNDANN,S,U,17.276051188299817,13.453146934509276
MNIST-USPS-SVHNADDA,M,U,8.957952468007313,10.403060913085938
MNIST-USPS-SVHNADDA,M,S,10.192010192010192,10.793084144592283
MNIST-USPS-SVHNADDA,U,M,13.27777777777778,12.509140968322754
MNIST-USPS-SVHNADDA,U,S,11.193011193011191,11.175217628479004
MNIST-USPS-SVHNADDA,S,M,10.077777777777778,10.570343017578123
MNIST-USPS-SVHNADDA,S,U,2.83363802559415,5.670303821563721
MNIST-USPS-SVHNCDAN,M,U,16.36197440585009,14.265249252319336
MNIST-USPS-SVHNCDAN,M,S,10.173810173810171,10.799720764160156
MNIST-USPS-SVHNCDAN,U,M,9.744444444444444,10.501558303833008
MNIST-USPS-SVHNCDAN,U,S,9.4003094003094,10.300753593444824
MNIST-USPS-SVHNCDAN,S,M,9.744444444444444,10.501558303833008
MNIST-USPS-SVHNCDAN,S,U,9.140767824497258,10.665327072143556
MNIST-USPS-SVHNCREDA,M,U,75.68555758683729,15.441304206848145
MNIST-USPS-SVHNCREDA,M,S,21.51242151242151,14.368600845336914
MNIST-USPS-SVHNCREDA,U,M,47.23333333333333,17.26346206665039
MNIST-USPS-SVHNCREDA,U,S,17.563017563017564,13.501730918884276
MNIST-USPS-SVHNCREDA,S,M,54.56666666666667,17.665271759033203
MNIST-USPS-SVHNCREDA,S,U,66.81901279707495,17.835411071777344
